id,full_name,nationality,passport_number,visa_type,status,risk_score,profession,employer,entry_date,exit_date,sponsor,birth_date,gender,education_level,monthly_salary,work_experience_years,previous_visits,has_violations,violations,risk_analysis
VSA-2024-0012,حسن محمود اليمني,يمني,YE357159486,عمل,pending,75,نجار,ورشة الخشب اليمنية,2024-01-05,2025-01-05,مصنع الأثاث السعودي,1982-10-17,ذكر,ثانوية,3800,18,6,true,"[{""type"":""تزوير مستندات"",""date"":""2017-11-25"",""severity"":""خطيرة""},{""type"":""عمل لدى غير الكفيل"",""date"":""2019-04-12"",""severity"":""خطيرة""}]",
VSA-2024-0013,زينب حسين العراقي,عراقي,IQ486357159,حج وعمرة,pending,18,ربة منزل,,2024-02-10,2024-03-10,حملة النور للحج,1970-12-05,أنثى,ثانوية,0,0,2,false,[],
VSA-2024-0014,كريم أحمد المغربي,مغربي,MA753486159,سياحة,pending,22,مخرج سينمائي,استوديو الدار البيضاء,2024-04-05,2024-04-20,فندق فور سيزونز,1989-02-28,ذكر,بكالوريوس,14000,8,3,false,[],
VSA-2024-0015,فاطمة زهراء الجزائري,جزائري,DZ159486753,عمل,pending,14,صيدلانية,صيدلية الجزائر,2024-03-20,2025-03-20,صيدليات الدواء,1994-08-11,أنثى,بكالوريوس,10000,4,1,false,[],
VSA-2024-0016,عبدالله محمد النيجيري,نيجيري,NG486159753,عمل,pending,60,لاعب كرة قدم,نادي لاغوس,2024-02-01,2024-08-01,نادي الهلال,1998-03-25,ذكر,ثانوية,50000,3,0,true,"[{""type"":""مخالفة شروط الإقامة"",""date"":""2022-07-18"",""severity"":""متوسطة""}]",
VSA-2024-0017,أمينة سعيد التونسي,تونسي,TN357486159,زيارة,pending,10,أستاذة جامعية,جامعة تونس,2024-03-25,2024-04-25,جامعة الملك سعود,1985-11-30,أنثى,دكتوراه,8000,12,2,false,[],
VSA-2024-0018,محمد إبراهيم الإثيوبي,إثيوبي,ET159357486,عمل,pending,40,حارس أمن,شركة الأمن الإثيوبية,2024-01-15,2025-01-15,شركة الحراسة السعودية,1990-07-07,ذكر,ثانوية,3200,6,1,true,"[{""type"":""غياب عن العمل"",""date"":""2021-02-14"",""severity"":""بسيطة""}]",
VSA-2024-0019,رانيا حسن اللبناني,لبناني,LB486753159,سياحة,pending,6,مذيعة تلفزيونية,قناة المستقبل,2024-04-10,2024-04-25,فندق الفيصلية,1992-05-19,أنثى,بكالوريوس,20000,7,8,false,[],
VSA-2024-0020,أحمد خالد الفلسطيني,فلسطيني,PS753159486,عمل,pending,28,مهندس برمجيات,شركة التقنية الفلسطينية,2024-02-20,2025-02-20,شركة STC,1991-09-03,ذكر,ماجستير,15000,6,2,false,[],
VSA-2024-0021,نادية محمود السريلانكي,سريلانكي,LK159753159,عمل,pending,18,عاملة منزلية,,2024-03-01,2025-03-01,عائلة الشمري,1988-04-12,أنثى,ابتدائية,2500,8,1,false,[],
VSA-2024-0022,عمران حسين الباكستاني,باكستاني,PK357159753,عمل,pending,32,ميكانيكي,ورشة السيارات الباكستانية,2024-01-20,2025-01-20,ورشة الخليج للسيارات,1986-12-28,ذكر,ثانوية,4000,14,3,false,[],
VSA-2024-0023,هدى علي المصري,مصري,EG753357159,زيارة,pending,8,مدرسة,مدرسة القاهرة الدولية,2024-04-01,2024-05-01,شقيقتها سارة علي,1990-06-15,أنثى,بكالوريوس,5000,8,2,false,[],
VSA-2024-0024,خالد عبدالرحمن السوري,سوري,SY159753357,عمل,pending,48,طبيب أسنان,عيادة دمشق,2024-02-15,2025-02-15,مجمع طبي سعودي,1983-01-20,ذكر,دكتوراه,25000,15,4,true,"[{""type"":""مخالفة مهنية"",""date"":""2020-08-05"",""severity"":""متوسطة""}]",
VSA-2024-0025,سمية أحمد الكيني,كيني,KE357753159,عمل,pending,22,ممرضة,مستشفى نيروبي,2024-03-10,2025-03-10,مستشفى الحمادي,1994-10-08,أنثى,دبلوم,5500,4,0,false,[],
VSA-2024-0026,إبراهيم محمد التشادي,تشادي,TD753159357,حج وعمرة,pending,15,إمام مسجد,وزارة الأوقاف التشادية,2024-02-25,2024-03-25,حملة الفردوس,1972-07-14,ذكر,بكالوريوس,3000,25,3,false,[],
VSA-2024-0027,فريدة حسن الهندي,هندي,IN159357753,عمل,pending,12,طبيبة أطفال,مستشفى مومباي,2024-03-15,2025-03-15,مستشفى الملك فهد,1987-03-22,أنثى,دكتوراه,22000,12,2,false,[],
VSA-2024-0028,محمود سالم المصري,مصري,EG357753357,عمل,pending,38,مهندس مدني,شركة المقاولات المصرية,2024-01-30,2025-01-30,شركة بن لادن,1984-08-17,ذكر,بكالوريوس,12000,14,5,true,"[{""type"":""تأخر في تجديد الإقامة"",""date"":""2021-05-20"",""severity"":""بسيطة""}]",
VSA-2024-0029,عائشة محمد الماليزي,ماليزي,MY753357753,سياحة,pending,5,مصورة,استوديو كوالالمبور,2024-04-15,2024-04-30,فندق هيلتون,1996-11-25,أنثى,بكالوريوس,8000,3,1,false,[],
VSA-2024-0030,يوسف أحمد الأوزبكي,أوزبكي,UZ357159159,عمل,pending,42,عامل مصنع,مصنع طشقند,2024-02-10,2025-02-10,مصنع الألمنيوم السعودي,1989-04-30,ذكر,ثانوية,3500,9,2,true,"[{""type"":""هروب من الكفيل"",""date"":""2018-12-10"",""severity"":""خطيرة""}]",
VSA-2024-0031,نورة خالد الإماراتي,إماراتي,AE159753951,زيارة,pending,3,سيدة أعمال,شركة الخليج للتجارة,2024-03-20,2024-04-20,فندق الريتز,1980-02-14,أنثى,ماجستير,80000,18,15,false,[],
VSA-2024-0032,علي رضا الإيراني,إيراني,IR753951159,عمل,pending,55,تاجر سجاد,بازار طهران,2024-01-25,2025-01-25,معرض السجاد السعودي,1978-09-08,ذكر,ثانوية,30000,22,4,true,"[{""type"":""مخالفة تجارية"",""date"":""2019-03-15"",""severity"":""متوسطة""}]",
VSA-2024-0033,مريم يعقوب الفلبيني,فلبيني,PH951159753,عمل,pending,16,عاملة منزلية,,2024-03-05,2025-03-05,عائلة القحطاني,1992-06-20,أنثى,ثانوية,2800,5,1,false,[],
VSA-2024-0034,أحمد علي البحريني,بحريني,BH159951753,سياحة,pending,4,محامي,مكتب المحاماة البحريني,2024-04-08,2024-04-15,فندق الفور سيزونز,1985-12-03,ذكر,ماجستير,25000,12,20,false,[],
VSA-2024-0035,سلمى حسين التنزاني,تنزاني,TZ951753159,عمل,pending,28,طاهية,فندق زنجبار,2024-02-20,2025-02-20,فندق موفنبيك,1991-08-15,أنثى,دبلوم,5000,7,0,false,[],
VSA-2024-0036,محمد أمين الأفغاني,أفغاني,AF753159951,عمل,pending,68,عامل زراعي,مزرعة كابول,2024-01-15,2025-01-15,مزرعة القصيم,1983-05-28,ذكر,ابتدائية,2800,15,3,true,"[{""type"":""تجاوز مدة التأشيرة"",""date"":""2016-07-20"",""severity"":""خطيرة""},{""type"":""عمل غير مرخص"",""date"":""2018-01-15"",""severity"":""خطيرة""}]",
VSA-2024-0037,لمياء محمد الكويتي,كويتي,KW159753753,زيارة,pending,2,طبيبة,مستشفى الصباح,2024-03-25,2024-04-25,مستشفى الملك فيصل التخصصي,1988-10-12,أنثى,دكتوراه,35000,10,12,false,[],
VSA-2024-0038,عبدالقادر حسن الصومالي,صومالي,SO753753159,عمل,pending,58,سائق شاحنة,شركة النقل الصومالية,2024-02-05,2025-02-05,شركة النقل البري,1987-03-18,ذكر,ثانوية,4000,11,2,true,"[{""type"":""حادث مروري"",""date"":""2020-09-25"",""severity"":""متوسطة""}]",
VSA-2024-0039,ريم أحمد القطري,قطري,QA753159753,سياحة,pending,3,مهندسة ديكور,شركة التصميم القطرية,2024-04-12,2024-04-22,فندق بارك حياة,1993-01-07,أنثى,بكالوريوس,18000,5,8,false,[],
VSA-2024-0040,إسماعيل محمود البنغالي,بنغالي,BD159753159,عمل,pending,35,عامل نظافة,شركة النظافة البنغالية,2024-01-20,2025-01-20,شركة النظافة السعودية,1990-11-22,ذكر,ابتدائية,2500,6,1,false,[],
VSA-2024-0041,هناء علي اللبناني,لبناني,LB753159159,عمل,pending,15,مصففة شعر,صالون بيروت,2024-03-10,2025-03-10,صالون الجمال,1994-07-30,أنثى,دبلوم,6000,6,2,false,[],
VSA-2024-0042,طارق محمد الليبي,ليبي,LY159159753,حج وعمرة,pending,20,رجل أعمال,شركة ليبيا للتجارة,2024-02-15,2024-03-15,حملة السلام,1976-04-18,ذكر,بكالوريوس,40000,20,4,false,[],
VSA-2024-0043,آمنة حسين الإندونيسي,إندونيسي,ID159753456,عمل,pending,18,مربية أطفال,,2024-03-01,2025-03-01,عائلة العتيبي,1989-09-14,أنثى,ثانوية,3000,8,2,false,[],
VSA-2024-0044,كمال أحمد التركي,تركي,TR753456159,سياحة,pending,8,مهندس صوت,استوديو إسطنبول,2024-04-20,2024-05-05,فندق شيراتون,1991-02-25,ذكر,بكالوريوس,10000,7,4,false,[],
VSA-2024-0045,صفية محمد الإريتري,إريتري,ER456159753,عمل,pending,45,عاملة منزلية,,2024-02-25,2025-02-25,عائلة الدوسري,1993-06-08,أنثى,ابتدائية,2500,4,1,true,"[{""type"":""هروب من صاحب العمل"",""date"":""2022-04-12"",""severity"":""خطيرة""}]",
VSA-2024-0046,أنس خالد الأردني,أردني,JO159456753,عمل,pending,12,مهندس كمبيوتر,شركة التقنية الأردنية,2024-03-15,2025-03-15,شركة علم,1990-08-20,ذكر,ماجستير,14000,8,3,false,[],
VSA-2024-0047,فدوى أحمد المغربي,مغربي,MA456753159,زيارة,pending,10,خبيرة تجميل,صالون الدار البيضاء,2024-04-01,2024-05-01,صديقتها نورة سعيد,1992-12-15,أنثى,دبلوم,7000,6,1,false,[],
VSA-2024-0048,عثمان محمد السنغالي,سنغالي,SN753456456,عمل,pending,38,لاعب كرة قدم,نادي داكار,2024-01-10,2024-07-10,نادي النصر,1999-03-12,ذكر,ثانوية,45000,2,0,false,[],
VSA-2024-0049,رشا علي العراقي,عراقي,IQ456456753,عمل,pending,22,مترجمة,شركة الترجمة العراقية,2024-02-20,2025-02-20,شركة الترجمة السعودية,1988-05-28,أنثى,بكالوريوس,8000,10,2,false,[],
VSA-2024-0050,جمال حسين اليمني,يمني,YE456753456,عمل,pending,72,سباك,ورشة السباكة اليمنية,2024-01-25,2025-01-25,مؤسسة الصيانة,1984-10-05,ذكر,ثانوية,3500,16,5,true,"[{""type"":""عمل لدى غير الكفيل"",""date"":""2017-06-18"",""severity"":""خطيرة""},{""type"":""تجاوز مدة الإقامة"",""date"":""2019-11-20"",""severity"":""خطيرة""}]",
VSA-2024-0051,منى سعيد المصري,مصري,EG753456753,عمل,pending,14,معلمة,مدرسة الإسكندرية,2024-03-05,2025-03-05,مدارس الرياض,1991-07-22,أنثى,بكالوريوس,7000,7,1,false,[],
VSA-2024-0052,عبدالرزاق محمد الباكستاني,باكستاني,PK456753753,عمل,pending,30,حلاق,صالون لاهور,2024-02-10,2025-02-10,صالون الرجل,1988-01-30,ذكر,ثانوية,4000,12,3,false,[],
VSA-2024-0053,سارة خالد التونسي,تونسي,TN753753456,سياحة,pending,6,صحفية,جريدة الصباح,2024-04-25,2024-05-10,فندق الماريوت,1994-04-18,أنثى,بكالوريوس,6000,5,2,false,[],
VSA-2024-0054,حمزة علي الأفغاني,أفغاني,AF456456456,عمل,pending,52,عامل مطعم,مطعم كابول,2024-01-15,2025-01-15,مطعم البيك,1991-09-25,ذكر,ثانوية,3200,7,2,true,"[{""type"":""مشاجرة"",""date"":""2021-08-30"",""severity"":""متوسطة""}]",
VSA-2024-0055,هالة محمد السوري,سوري,SY753456159,زيارة,pending,25,مهندسة كيميائية,شركة الصناعات السورية,2024-03-20,2024-04-20,خالها أحمد محمود,1989-11-12,أنثى,ماجستير,9000,9,1,false,[],
VSA-2024-0056,إدريس أحمد المالي,مالي,ML456159456,حج وعمرة,pending,18,تاجر ذهب,سوق باماكو,2024-02-25,2024-03-25,حملة الرحمة,1975-06-08,ذكر,ثانوية,25000,25,2,false,[],
VSA-2024-0057,نجلاء حسين الهندي,هندي,IN159456456,عمل,pending,20,ممرضة,مستشفى دلهي,2024-03-10,2025-03-10,مستشفى سليمان الحبيب,1993-03-15,أنثى,دبلوم,5500,5,0,false,[],
VSA-2024-0058,فيصل محمد الجيبوتي,جيبوتي,DJ456159159,عمل,pending,35,بحار,شركة الملاحة الجيبوتية,2024-01-20,2025-01-20,شركة البحر الأحمر,1986-08-28,ذكر,ثانوية,6000,14,3,false,[],
VSA-2024-0059,عفاف علي الجزائري,جزائري,DZ159159456,سياحة,pending,7,كاتبة,دار النشر الجزائرية,2024-04-15,2024-04-30,فندق كراون بلازا,1990-12-20,أنثى,ماجستير,5000,8,1,false,[],
VSA-2024-0060,مصطفى أحمد النيجيري,نيجيري,NG159456159,عمل,pending,48,مهندس بترول,شركة النفط النيجيرية,2024-02-15,2025-02-15,أرامكو,1985-02-10,ذكر,بكالوريوس,20000,13,2,true,"[{""type"":""مخالفة بيئية"",""date"":""2020-05-15"",""severity"":""متوسطة""}]",
VSA-2024-0061,دينا محمد المصري,مصري,EG456159753,عمل,pending,10,مصممة جرافيك,شركة الإعلان المصرية,2024-03-25,2025-03-25,شركة الدعاية السعودية,1995-05-25,أنثى,بكالوريوس,8500,4,1,false,[],
VSA-2024-0062,سامي خالد الفلسطيني,فلسطيني,PS159753852,عمل,pending,32,محاسب,شركة المحاسبة الفلسطينية,2024-02-05,2025-02-05,شركة إرنست ويونغ,1988-09-18,ذكر,بكالوريوس,11000,10,2,false,[],
VSA-2024-0063,خديجة علي الصومالي,صومالي,SO852159753,عمل,pending,42,عاملة منزلية,,2024-01-30,2025-01-30,عائلة المطيري,1990-04-12,أنثى,ابتدائية,2800,6,1,true,"[{""type"":""هروب مؤقت"",""date"":""2022-09-08"",""severity"":""متوسطة""}]",
VSA-2024-0064,وليد محمد اللبناني,لبناني,LB753852159,سياحة,pending,5,مخرج إعلانات,شركة الإنتاج اللبنانية,2024-04-20,2024-05-05,فندق جي دبليو ماريوت,1987-07-30,ذكر,بكالوريوس,15000,12,6,false,[],
VSA-2024-0065,أسماء أحمد الإندونيسي,إندونيسي,ID159852753,عمل,pending,15,طاهية,مطعم جاكرتا,2024-03-15,2025-03-15,مطعم الشرق,1992-11-08,أنثى,دبلوم,4500,6,1,false,[],
VSA-2024-0066,أيمن حسن السوداني,سوداني,SD852753159,حج وعمرة,pending,12,مدرس قرآن,مدرسة الخرطوم,2024-02-20,2024-03-20,حملة طيبة,1978-01-25,ذكر,بكالوريوس,3500,20,3,false,[],
VSA-2024-0067,سلوى محمد التركي,تركي,TR159753963,زيارة,pending,8,طبيبة تجميل,عيادة إسطنبول,2024-04-05,2024-04-20,مجمع طبي سعودي,1986-06-15,أنثى,دكتوراه,30000,14,4,false,[],
VSA-2024-0068,رياض علي البنغالي,بنغالي,BD963159753,عمل,pending,40,كهربائي,شركة الكهرباء البنغالية,2024-01-25,2025-01-25,شركة الصيانة الكهربائية,1985-10-20,ذكر,دبلوم,4500,15,4,true,"[{""type"":""إهمال في العمل"",""date"":""2019-07-22"",""severity"":""بسيطة""}]",
VSA-2024-0069,منال خالد الأردني,أردني,JO753963159,عمل,pending,10,مهندسة طبية,شركة المعدات الطبية,2024-03-10,2025-03-10,شركة سيمنز السعودية,1991-03-28,أنثى,ماجستير,16000,7,2,false,[],
VSA-2024-0070,عبدالحميد محمد اليمني,يمني,YE159963753,عمل,pending,65,حداد,ورشة الحدادة اليمنية,2024-02-10,2025-02-10,مصنع الحديد السعودي,1982-12-05,ذكر,ثانوية,3800,18,5,true,"[{""type"":""مخالفة نظام العمل"",""date"":""2018-04-10"",""severity"":""خطيرة""}]",
VSA-2024-0071,نهى أحمد المصري,مصري,EG963753159,زيارة,pending,6,مهندسة ديكور داخلي,شركة التصميم المصرية,2024-04-15,2024-05-15,صديقتها منى سعيد,1993-08-12,أنثى,بكالوريوس,9000,6,1,false,[],
VSA-2024-0072,بلال حسين الباكستاني,باكستاني,PK753159963,عمل,pending,28,فني تكييف,شركة التكييف الباكستانية,2024-01-15,2025-01-15,شركة التكييف المركزي,1989-05-18,ذكر,دبلوم,5000,10,2,false,[],
VSA-2024-0073,إيمان محمد السوري,سوري,SY159963159,عمل,pending,18,معلمة لغة عربية,مدرسة دمشق,2024-03-20,2025-03-20,مدارس الفيصل,1990-02-28,أنثى,بكالوريوس,6500,8,1,false,[],
VSA-2024-0074,عادل علي الإثيوبي,إثيوبي,ET963159963,عمل,pending,45,سائق خاص,شركة النقل الإثيوبية,2024-02-05,2025-02-05,عائلة الغامدي,1987-11-10,ذكر,ثانوية,4000,12,3,true,"[{""type"":""مخالفة مرورية جسيمة"",""date"":""2021-03-15"",""severity"":""متوسطة""}]",
VSA-2024-0075,لينا خالد التونسي,تونسي,TN159159963,سياحة,pending,4,مصممة أزياء,دار الأزياء التونسية,2024-04-25,2024-05-10,فندق الهيلتون,1994-09-22,أنثى,بكالوريوس,8000,5,2,false,[],
VSA-2024-0076,زكريا محمد الأفغاني,أفغاني,AF963963159,عمل,pending,58,عامل بناء,شركة البناء الأفغانية,2024-01-20,2025-01-20,شركة المقاولات السعودية,1986-04-15,ذكر,ابتدائية,3200,14,4,true,"[{""type"":""إصابة عمل متعمدة"",""date"":""2020-11-08"",""severity"":""متوسطة""}]",
VSA-2024-0077,سهام أحمد العراقي,عراقي,IQ159963963,زيارة,pending,12,طبيبة,مستشفى بغداد,2024-03-25,2024-04-25,قريبها محمد حسين,1988-07-08,أنثى,دكتوراه,12000,12,2,false,[],
VSA-2024-0078,ناصر علي الكويتي,كويتي,KW963159159,سياحة,pending,2,رجل أعمال,شركة الاستثمار الكويتية,2024-04-10,2024-04-20,فندق الريتز كارلتون,1975-12-30,ذكر,ماجستير,100000,25,30,false,[],
VSA-2024-0079,فاتن محمد الهندي,هندي,IN159963741,عمل,pending,22,مهندسة برمجيات,شركة التقنية الهندية,2024-02-15,2025-02-15,شركة مايكروسوفت السعودية,1992-06-18,أنثى,ماجستير,18000,6,1,false,[],
VSA-2024-0080,أشرف حسين المصري,مصري,EG741159963,عمل,pending,35,مهندس صوت,استوديو القاهرة,2024-03-05,2025-03-05,استوديو الصوت السعودي,1987-03-12,ذكر,بكالوريوس,10000,11,2,false,[],
VSA-2024-0081,رقية علي الإندونيسي,إندونيسي,ID963741159,عمل,pending,20,مربية,روضة جاكرتا,2024-01-30,2025-01-30,عائلة السبيعي,1991-10-25,أنثى,دبلوم,3500,6,1,false,[],
VSA-2024-0082,حسام محمد اللبناني,لبناني,LB159741963,عمل,pending,15,شيف,مطعم بيروت,2024-02-20,2025-02-20,فندق فور سيزونز,1989-01-15,ذكر,دبلوم,12000,10,3,false,[],
VSA-2024-0083,عبير أحمد الجزائري,جزائري,DZ741963159,زيارة,pending,8,أستاذة جامعية,جامعة الجزائر,2024-04-05,2024-05-05,جامعة الملك عبدالعزيز,1983-08-20,أنثى,دكتوراه,7000,15,2,false,[],
VSA-2024-0084,توفيق علي الموريتاني,موريتاني,MR963741741,حج وعمرة,pending,14,شيخ قبيلة,إمارة نواكشوط,2024-02-25,2024-03-25,حملة الهدى,1965-05-10,ذكر,ثانوية,20000,35,5,false,[],
VSA-2024-0085,سمر محمد التركي,تركي,TR741963741,سياحة,pending,5,مهندسة معمارية,شركة العمارة التركية,2024-04-18,2024-05-03,فندق شانغريلا,1990-04-28,أنثى,ماجستير,15000,8,4,false,[],
VSA-2024-0086,عصام حسين البنغالي,بنغالي,BD741741963,عمل,pending,38,عامل مصنع نسيج,مصنع دكا للنسيج,2024-01-25,2025-01-25,مصنع الغزل السعودي,1988-09-05,ذكر,ثانوية,3000,10,2,true,"[{""type"":""غياب متكرر"",""date"":""2021-06-20"",""severity"":""بسيطة""}]",
VSA-2024-0087,هبة أحمد الفلسطيني,فلسطيني,PS963741963,عمل,pending,18,صيدلانية,صيدلية القدس,2024-03-10,2025-03-10,صيدليات النهدي,1993-11-12,أنثى,بكالوريوس,9500,5,1,false,[],
VSA-2024-0088,رامي محمد السوداني,سوداني,SD741963963,عمل,pending,25,مهندس زراعي,وزارة الزراعة السودانية,2024-02-10,2025-02-10,شركة الزراعة السعودية,1986-02-18,ذكر,بكالوريوس,8000,12,2,false,[],
VSA-2024-0089,غادة علي المغربي,مغربي,MA963963741,زيارة,pending,6,مذيعة,قناة المغرب,2024-04-22,2024-05-07,فندق الفيصلية,1991-07-25,أنثى,بكالوريوس,10000,8,3,false,[],
VSA-2024-0090,محمود حسين الأردني,أردني,JO741741741,عمل,pending,12,مهندس اتصالات,شركة الاتصالات الأردنية,2024-03-15,2025-03-15,شركة زين السعودية,1988-12-08,ذكر,بكالوريوس,14000,10,3,false,[],
VSA-2024-0091,ياسمين محمد المصري,مصري,EG963741147,سياحة,pending,4,ممثلة,شركة الإنتاج المصرية,2024-04-28,2024-05-13,فندق كمبنسكي,1995-03-30,أنثى,بكالوريوس,25000,5,2,false,[],
VSA-2024-0092,سليمان أحمد النيجيري,نيجيري,NG147741963,عمل,pending,50,حارس أمن,شركة الأمن النيجيرية,2024-02-05,2025-02-05,شركة الحراسة الأمنية,1989-06-22,ذكر,ثانوية,3500,8,1,true,"[{""type"":""استخدام القوة المفرطة"",""date"":""2022-01-15"",""severity"":""متوسطة""}]",
VSA-2024-0093,نادين خالد اللبناني,لبناني,LB741147963,زيارة,pending,6,مصورة,استوديو بيروت,2024-03-30,2024-04-30,صديقتها لمى أحمد,1994-10-15,أنثى,بكالوريوس,7000,5,2,false,[],
VSA-2024-0094,أحمد سالم اليمني,يمني,YE147963741,عمل,pending,62,كهربائي سيارات,ورشة صنعاء,2024-01-20,2025-01-20,ورشة السيارات الحديثة,1984-08-28,ذكر,دبلوم,4200,16,4,true,"[{""type"":""سرقة معدات"",""date"":""2019-10-05"",""severity"":""خطيرة""}]",
VSA-2024-0095,مها محمد السوري,سوري,SY963147741,عمل,pending,20,معلمة رياض أطفال,روضة دمشق,2024-03-20,2025-03-20,روضة الأطفال السعودية,1992-01-18,أنثى,بكالوريوس,5500,6,1,false,[],
VSA-2024-0096,فارس علي الباكستاني,باكستاني,PK741963147,عمل,pending,32,فني سباكة,شركة السباكة الباكستانية,2024-02-15,2025-02-15,مؤسسة الصيانة المنزلية,1987-04-12,ذكر,دبلوم,4500,13,3,false,[],
VSA-2024-0097,إلهام أحمد التونسي,تونسي,TN147741147,سياحة,pending,5,مهندسة بيئة,شركة البيئة التونسية,2024-04-12,2024-04-27,فندق روز وود,1991-11-25,أنثى,ماجستير,9000,7,2,false,[],
VSA-2024-0098,عمار حسين العراقي,عراقي,IQ741147741,حج وعمرة,pending,15,تاجر,سوق بغداد,2024-02-28,2024-03-28,حملة الصفا,1973-09-08,ذكر,ثانوية,30000,28,4,false,[],
VSA-2024-0099,روان محمد الهندي,هندي,IN147147741,عمل,pending,18,طبيبة نساء وولادة,مستشفى نيودلهي,2024-03-05,2025-03-05,مستشفى الحبيب,1986-05-20,أنثى,دكتوراه,28000,14,2,false,[],
VSA-2024-0100,كريم علي المصري,مصري,EG741147147,عمل,pending,24,مهندس ميكانيكي,شركة الهندسة المصرية,2024-01-30,2025-01-30,شركة سابك,1989-08-15,ذكر,بكالوريوس,13000,9,2,false,[],
